loss,accuracy,val_loss,val_accuracy,lr
2.188483476638794,0.19104911386966705,2.048476457595825,0.2784821391105652,1e-04
2.0687906742095947,0.23975446820259094,1.9537945985794067,0.352142870426178,1e-04
2.0116727352142334,0.26962053775787354,1.897868275642395,0.370803564786911,1e-04
1.9781837463378906,0.2885267734527588,1.865455150604248,0.3745535612106323,1e-04
1.9547159671783447,0.30433034896850586,1.8464981317520142,0.38732144236564636,1e-04
1.9339264631271362,0.3160937428474426,1.8253459930419922,0.38107141852378845,1e-04
1.9192843437194824,0.31899553537368774,1.8162752389907837,0.36392858624458313,1e-04
1.911429762840271,0.322254478931427,1.8093419075012207,0.37508928775787354,1e-04
1.8963276147842407,0.3257366120815277,1.8018279075622559,0.3631249964237213,1e-04
1.8897860050201416,0.3253124952316284,1.7951740026474,0.36473214626312256,1e-04
